"homeTeam","awayTeam","homeScore","awayScore","date","gameID","playoff","season","winner","loser","MOV","previousHomeElo","previousAwayElo","newHomeElo","newAwayElo","homeWinPct","awayWinPct","drawPct","expectedWinner","correct"
"AlleyCats","Revolution",23,22,2014-06-21,"2014-06-21-CIN-IND",FALSE,"2014","AlleyCats","Revolution",1,1440.20144407318,1286.88515973225,1444.09136799181,1283.01486334914,0.81078025572955,0.188264991084909,0.000954753185540891,"AlleyCats",TRUE
"Wind Chill","Union",22,19,2014-06-21,"2014-06-21-CHI-MIN",FALSE,"2014","Wind Chill","Union",3,1410.9244527152,1493.06043513653,1430.66692897458,1473.38256592799,0.524908328273775,0.473536939108954,0.00155473261727102,"Wind Chill",TRUE
"Cascades","Spiders",14,22,2014-06-22,"2014-06-22-SJ-SEA",FALSE,"2014","Spiders","Cascades",8,1328.68917573512,1596.895853494,1310.44878680706,1615.21886200254,0.27460290152304,0.724153288566339,0.00124380991062134,"Spiders",TRUE
"Lions","FlameThrowers",25,33,2014-06-22,"2014-06-22-SF-SLC",FALSE,"2014","FlameThrowers","Lions",8,1126.27162248998,1541.78538470565,1116.94173557165,1551.16544363297,0.139510576459333,0.859739197309865,0.000750226230802342,"FlameThrowers",TRUE
"Rush","Phoenix",29,15,2014-06-22,"2014-06-22-PHI-TOR",FALSE,"2014","Rush","Phoenix",14,1604.34633213917,1219.51821229157,1608.95580318927,1214.93574190087,0.942011748032814,0.057648577192534,0.000339674774652243,"Rush",TRUE
"Dragons","Empire",9,25,2014-06-22,"2014-06-22-NY-ROC",FALSE,"2014","Empire","Dragons",16,1200.14192687537,1498.38071208081,1179.42548673687,1519.19528460089,0.241536903279963,0.757318952677887,0.00114414404215046,"Empire",TRUE
"Wind Chill","Mechanix",42,16,2014-06-27,"2014-06-27-DET-MIN",FALSE,"2014","Wind Chill","Mechanix",26,1430.66692897458,1136.45336822662,1439.794159015,1127.377571937,0.90603520530582,0.093435284446984,0.000529510247195733,"Wind Chill",TRUE
"AlleyCats","Revolution",29,15,2014-06-27,"2014-06-27-CIN-IND",FALSE,"2014","AlleyCats","Revolution",14,1444.09136799181,1283.01486334914,1458.74095857489,1268.43980377312,0.817538599834542,0.1815331126597,0.000928287505757575,"AlleyCats",TRUE
"FlameThrowers","Riptide",23,18,2014-06-28,"2014-06-28-VAN-SF",FALSE,"2014","FlameThrowers","Riptide",5,1551.16544363297,1408.49100411009,1561.73476194052,1397.97438898056,0.801202765417864,0.197805945859559,0.000991288722577366,"FlameThrowers",TRUE
"Dragons","Rush",20,29,2014-06-28,"2014-06-28-TOR-ROC",FALSE,"2014","Rush","Dragons",9,1179.42548673687,1608.95580318927,1170.3016133764,1618.12928002384,0.130103191050911,0.869189481040052,0.000707327909036937,"Rush",TRUE
"Spiders","Lions",37,12,2014-06-28,"2014-06-28-SLC-SJ",FALSE,"2014","Spiders","Lions",25,1615.21886200254,1116.94173557165,1618.17277825293,1114.00561427321,0.96895686137709,0.0308561288659103,0.000187009756999354,"Spiders",TRUE
"Radicals","Mechanix",28,9,2014-06-28,"2014-06-28-DET-MAD",FALSE,"2014","Radicals","Mechanix",19,1635.03260330009,1127.377571937,1637.60905117009,1124.81667028695,0.970540189857377,0.0292820504085317,0.000177759734091589,"Radicals",TRUE
"Royal","Breeze",20,29,2014-06-28,"2014-06-28-DC-MTL",FALSE,"2014","Breeze","Royal",9,1378.94147507336,1500.99492311655,1346.61331762582,1533.430436788,0.467528877991815,0.530918539403195,0.00155258260498981,"Breeze",TRUE
