homeTeam,awayTeam,homeScore,awayScore,date,gameID,playoff,season
Union,AlleyCats,23,15,7/9/2022,2022-07-09-IND-CHI,FALSE,2022
Thunderbirds,Mechanix,22,19,7/9/2022,2022-07-09-DET-PIT,FALSE,2022
Empire,Glory,32,18,7/9/2022,2022-07-09-BOS-NY,FALSE,2022
Sol,Hustle,18,17,7/9/2022,2022-07-09-ATL-ATX,FALSE,2022
Radicals,Wind Chill,21,18,7/10/2022,2022-07-10-MIN-MAD,FALSE,2022
Radicals,AlleyCats,17,19,7/15/2022,2022-07-15-IND-MAD,FALSE,2022
Royal,Breeze,14,24,7/15/2022,2022-07-15-DC-MTL,FALSE,2022
Growlers,Summit,23,20,7/15/2022,2022-07-15-COL-SD,FALSE,2022
Spiders,Shred,19,22,7/16/2022,2022-07-16-SLC-OAK,FALSE,2022
Rush,Phoenix,23,25,7/16/2022,2022-07-16-PHI-TOR,FALSE,2022
Mechanix,Radicals,18,25,7/16/2022,2022-07-16-MAD-DET,FALSE,2022
Outlaws,Breeze,17,24,7/16/2022,2022-07-16-DC-OTT,FALSE,2022
Sol,Legion,26,22,7/16/2022,2022-07-16-DAL-ATX,FALSE,2022
Aviators,Summit,21,27,7/16/2022,2022-07-16-COL-LA,FALSE,2022
Wind Chill,Union,25,27,7/16/2022,2022-07-16-CHI-MIN,FALSE,2022
Thunderbirds,Flyers,22,27,7/16/2022,2022-07-16-CAR-PIT,FALSE,2022
Cannons,Hustle,17,26,7/16/2022,2022-07-16-ATL-TB,FALSE,2022
Phoenix,Empire,19,24,7/22/2022,2022-07-22-NY-PHI,FALSE,2022
Shred,Aviators,19,16,7/22/2022,2022-07-22-LA-SLC,FALSE,2022
Hustle,Legion,27,20,7/22/2022,2022-07-22-DAL-ATL,FALSE,2022
Cascades,Growlers,18,22,7/23/2022,2022-07-23-SD-SEA,FALSE,2022
AlleyCats,Wind Chill,21,24,7/23/2022,2022-07-23-MIN-IND,FALSE,2022
Spiders,Aviators,22,18,7/23/2022,2022-07-23-LA-OAK,FALSE,2022
Glory,Breeze,21,23,7/23/2022,2022-07-23-DC-BOS,FALSE,2022
Cannons,Legion,17,15,7/23/2022,2022-07-23-DAL-TB,FALSE,2022
Thunderbirds,Union,17,25,7/23/2022,2022-07-23-CHI-PIT,FALSE,2022
Nitro,Growlers,18,23,7/24/2022,2022-07-24-SD-POR,FALSE,2022
Sol,Cannons,30,10,7/29/2022,2022-07-29-TB-ATX,FALSE,2022
Shred,Nitro,32,16,7/29/2022,2022-07-29-POR-SLC,FALSE,2022
Breeze,Outlaws,24,17,7/29/2022,2022-07-29-OTT-DC,FALSE,2022
Aviators,Spiders,25,24,7/29/2022,2022-07-29-OAK-LA,FALSE,2022
Radicals,Union,15,21,7/29/2022,2022-07-29-CHI-MAD,FALSE,2022
Legion,Cannons,24,16,7/30/2022,2022-07-30-TB-DAL,FALSE,2022
Summit,Nitro,34,18,7/30/2022,2022-07-30-POR-COL,FALSE,2022
Phoenix,Outlaws,25,19,7/30/2022,2022-07-30-OTT-PHI,FALSE,2022
Growlers,Spiders,24,18,7/30/2022,2022-07-30-OAK-SD,FALSE,2022
Hustle,AlleyCats,23,21,7/30/2022,2022-07-30-IND-ATL,FALSE,2022
Union,Mechanix,33,18,7/30/2022,2022-07-30-DET-CHI,FALSE,2022
Wind Chill,Mechanix,28,9,7/31/2022,2022-07-31-DET-MIN,FALSE,2022
Shred,Growlers,19,16,8/13/2022,2022-08-13-SD-SLC,TRUE,2022
Breeze,Phoenix,23,18,8/13/2022,2022-08-13-PHI-DC,TRUE,2022
Wind Chill,AlleyCats,20,18,8/13/2022,2022-08-13-IND-MIN,TRUE,2022
Summit,Shred,26,21,8/20/2022,2022-08-20-SLC-COL,TRUE,2022
Empire,Breeze,19,18,8/20/2022,2022-08-20-DC-NY,TRUE,2022
Flyers,Sol,22,20,8/20/2022,2022-08-20-ATX-CAR,TRUE,2022
Union,Wind Chill,21,16,8/21/2022,2022-08-21-MIN-CHI,TRUE,2022
Summit,Union,14,19,8/26/2022,2022-08-26-CHI-COL,TRUE,2022
Empire,Flyers,22,16,8/26/2022,2022-08-26-CAR-NY,TRUE,2022
Empire,Union,22,14,8/27/2022,2022-08-27-CHI-NY,TRUE,2022
